title,album,song_release_date,album_release_date,collaborators,youtube_url
Crucify Your Culture,"Demos (Do Not Share), Vol. II",,2020-01-01,,https://www.youtube.com/watch?v=LfS41H29asw
Dear God,"Demos (Do Not Share), Vol. I",,2020-01-01,,https://www.youtube.com/watch?v=uOiB2AYUdMQ
Depression,"Demos (Do Not Share), Vol. II",,2020-01-01,,https://www.youtube.com/watch?v=VCZj2w0iXO8
Diazepam,"Demos (Do Not Share), Vol. II",,2020-01-01,,https://www.youtube.com/watch?v=SYto6vfUwXo
Everybody Drops,"Demos (Do Not Share), Vol. II",,2020-01-01,,https://www.youtube.com/watch?v=xG6ckC1Q4eU
French Song (w/ Romain Axisa),"Demos (Do Not Share), Vol. I",,2020-01-01,,https://www.youtube.com/watch?v=BxnzQbDIh5A
Heretic,"Demos (Do Not Share), Vol. II",,2020-01-01,,https://www.youtube.com/watch?v=wukFdoXRZKM
Hold On,"Demos (Do Not Share), Vol. I",,2020-01-01,,https://www.youtube.com/watch?v=n7jsWZmHhcM
Insomnia,"Demos (Do Not Share), Vol. II",,2020-01-01,,https://www.youtube.com/watch?v=IBgp2OX7hYs
Life is Funny,"Demos (Do Not Share), Vol. I",,2020-01-01,,https://www.youtube.com/watch?v=rV8U73JHs0Q
"Love Music, Pt. 3","Demos (Do Not Share), Vol. I",,2020-01-01,,https://www.youtube.com/watch?v=OjElKx6q2Wc
"Money Game, Pt. 2","Demos (Do Not Share), Vol. I",,2020-01-01,,https://www.youtube.com/watch?v=YonS9_QJbp8
Ocean (w/ Eden Nash),"Demos (Do Not Share), Vol. I",,2020-01-01,,https://www.youtube.com/watch?v=xoi7pI0zGPA
Penitence (w/ Molly McKinna),"Demos (Do Not Share), Vol. II",,2020-01-01,,https://www.youtube.com/watch?v=R-7UHDoKlMw
Ready For You,"Demos (Do Not Share), Vol. II",,2020-01-01,,https://www.youtube.com/watch?v=PdPVzKTJWXI
Jenny's Tale,The Tale of Jenny & Screech,,2019-09-18,,https://www.youtube.com/watch?v=TYAnqQ--KX0
Screech's Tale,The Tale of Jenny & Screech,,2019-09-18,,https://www.youtube.com/watch?v=TYAnqQ--KX0
1990s,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=J2H7wDR9eTU
Bullet,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=7_e54DPscfg
Crutch (w/ Bibi),Freckled Angels,,2016-01-01,,https://www.youtube.com/watch?v=3gC2kq6E5Mo
Dominoes,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=bbbjWEnC3Gc
Fire,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=MZri14oE4Co
Freckled Angels,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=xRm7DV8jObg
It's Alright,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=hCsQDY8A6og
"Love Music, Pt. 1",Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=7KejhE8xQHg
"Love Music, Pt. 2",Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=XAvFmlLtCA4
Make My Way,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=xOChAV1KueU
Meaning,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=_KP9PhJ3Nlg
Pixie,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=dOsIJ3_h7Ik
Pocket Full of Pain,Freckled Angels,2015-12-28,2016-01-01,,https://www.youtube.com/watch?v=f92DEPX6bcg
